Mission Subphase,Sol,Centroid Longitude,Centroid Latitude,Area,Maximum Latitude,Minimum Latitude,Confidence Interval,Horizontal Distance,Vertical Distance
B02,12,-63.05,-19.45,3301257.2,3.75001,-43.95,50,1209.3011088545406,2821.83409090514
B02,12,-13.35,-17.95,9471946.0,14.35,-43.55,75,2837.7308757789183,3425.2444362885376
B02,12,75.35,-28.55,1713235.5,-9.95,-42.95,50,873.0160023755693,1952.2118548794779
B02,13,-63.55,-12.25,2011933.8,4.35001,-33.95,75,914.4671112631316,2265.749501939471
B02,13,-15.25,-20.35,9626212.0,13.15,-47.85,75,2748.2459008008304,3608.6340347772157
B02,14,-58.85,-11.45,2007161.0,3.75001,-28.55,75,1068.202257629666,1910.801891961384
B02,14,42.25,-37.25,376215.22,-30.35,-42.95,50,501.77307189750377,745.3899809539826
B02,14,-18.35,-14.65,6928532.0,19.15,-44.95,75,1911.646939325799,3792.023633265894
B02,15,40.65,-36.65,453964.09,-31.55,-43.75,50,638.5760985669849,721.7268069554431
B02,15,-26.85,23.55,241794.78,28.35,18.05,75,396.309949065746,609.3267304623824
B02,15,-74.25,-31.45,134717.23,-28.45,-35.05,75,346.34210879577296,390.44237097589524
B02,15,73.75,-35.55,146912.2,-31.75,-39.75,100,311.4548115045278,473.2634799707823
B02,15,-14.25,-10.85,4566775.0,11.25,-30.85,75,1869.2990843646244,2490.5490633462423
B02,15,-54.75,-14.75,1782290.5,-2.64999,-32.75,50,1027.8104166482108,1780.6544349694186
B02,16,-22.15,25.95,642013.81,37.05,15.55,100,509.2664209715417,1271.8956024214776
B02,16,-19.45,-6.14999,1600344.1,12.25,-21.75,50,805.5637231908792,2011.369789875825
B02,16,-15.05,-38.95,197481.45,-31.55,-44.75,50,250.65018724726394,780.8847419517909
B02,16,-49.05,-11.45,2967289.8,17.95,-37.55,75,935.021111820551,3283.2653922973027
B02,16,-70.85,-30.55,201080.06,-26.15,-34.35,75,413.5982810344695,485.0950669700521
B02,16,76.75,-38.05,360956.16,-29.95,-44.15,75,425.0481936111542,840.0426769481388
B02,16,29.05,-34.05,664939.25,-22.65,-41.85,75,576.221410397908,1135.832351929878
B02,17,-18.45,23.75,653817.25,36.25,8.95,50,405.19590106591875,1615.011625400295
B02,17,-69.75,-29.45,112286.7,-27.25,-32.15,50,388.4427226909702,289.8738814821041
