Mission Subphase,Sol,Centroid Longitude,Centroid Latitude,Area,Maximum Latitude,Minimum Latitude,Confidence Interval,Horizontal Distance,Vertical Distance
B11,27,92.45,-33.85,894473.94,-20.05,-45.75,50,586.8467613159359,1520.3589294061383
B11,27,73.95,-32.95,1602231.9,-14.05,-51.45,75,735.5289515773848,2212.5067688634076
B11,27,49.05,-33.35,1524045.2,-21.35,-46.95,75,1024.2719144062723,1514.4431359065038
B11,27,12.95,-35.35,4452989.5,-12.85,-55.95,100,1767.7905242063546,2549.7069983425904
B11,27,43.95,52.35,61305.863,54.95,50.05,75,212.27703648451867,289.87388148210465
B11,27,91.75,26.65,91711.398,29.95,23.75,75,250.60783461776393,366.7791969773563
B11,27,-76.95,50.05,799355.81,55.15,44.25,75,1232.5598575424387,644.8214914601908
B11,28,55.75,-41.25,1749475.9,-25.05,-57.25,75,929.1930319900268,1904.885506882399
B11,28,0.75,-35.35,5503553.0,-12.85,-56.25,75,2174.377469764245,2567.4543788414944
B11,28,87.85,4.15,259739.91,9.65,0.0500031,100,458.33213035816357,567.9159925753404
B11,28,80.35,18.75,146043.0,23.95,13.75,75,242.49302568676447,603.4109369627474
B11,29,12.45,40.55,376091.25,47.45,34.55,75,497.22146360566416,763.1373614528873
B11,29,80.95,-6.24999,458264.94,1.95,-14.75,75,465.64140081349757,987.9375144390083
B11,29,4.45001,-40.85,5928057.0,-19.05,-58.75,75,2503.1217517100667,2348.5700193550074
B11,29,59.35,-41.15,1492561.2,-25.35,-58.25,50,785.3467334207452,1946.2960613798427
B11,29,-179.85,48.25,298149.38,52.95,43.55,75,536.7600956401079,556.0845889656694
B11,29,177.75,36.65,31610.438,38.65,34.55,75,130.27005412347972,242.54753348502632
B11,30,38.95,49.15,501795.78,55.95,41.25,75,572.2866935945523,869.6216444463131
B11,30,66.45,-43.95,1711059.5,-27.85,-58.95,75,932.9446206184358,1839.8117783864172
B11,30,175.15,31.45,143705.81,34.45,28.25,100,391.5785242481104,366.7791969773563
B11,30,174.25,40.45,198672.64,45.65,34.75,75,307.4292531217369,644.8214914601908
B11,30,-161.05,28.25,387226.06,32.65,23.75,75,735.8594124888641,526.5056214674952
B11,31,-155.15,29.65,275671.31,34.45,25.25,50,508.0703421165156,544.2530019663998
B11,31,-65.45,51.45,1153265.1,59.45,42.75,75,1162.5980099961223,987.9375144390085
B11,31,-179.05,35.05,75473.828,37.65,33.25,50,291.4608312959559,260.2949139839303
B11,32,-157.35,36.75,172450.64,40.15,33.55,100,442.5018140977293,390.44237097589524
B11,32,-42.15,32.05,2922427.8,53.45,8.55,75,1116.2781779165625,2656.1912813360163
B11,33,-45.95,15.25,2815352.2,37.95,-0.949997,75,1268.8743377911096,2301.2434938841247
B11,33,-141.35,37.65,56701.652,40.65,34.55,75,157.09626990406878,360.8634034777217
B11,33,-79.55,50.85,650053.88,55.95,46.25,75,1140.3059678733578,573.8319694645741
B12,1,-35.45,-4.74999,1792223.4,19.65,-20.95,50,759.4713265510845,2401.812160851721
B12,1,-77.45,46.75,611685.44,51.95,42.55,75,1111.5748614452837,556.0845889656697
B12,1,-173.15,33.75,56509.258,37.45,30.55,75,138.92875558937598,408.1897514748
B12,2,-27.15,-16.75,1403632.4,2.95,-30.95,50,700.9079897607435,2005.4539963761906
B12,2,-89.55,53.85,716548.44,59.35,48.85,75,1162.1360216933515,621.1583174616517
B12,3,-62.75,36.05,69889.25,38.15,33.85,75,274.63459100795166,254.37912048429553
B12,3,-75.85,50.05,880888.56,57.75,45.15,75,1220.1204977545333,745.3899809539822
B12,12,-43.85,21.15,255357.89,26.25,16.15,75,428.07923520412027,597.4951434631131
B12,13,22.15,48.85,223506.36,54.15,43.05,75,339.2144728184725,656.6530784594604
B12,13,174.95,36.45,176934.23,40.65,31.35,75,320.1061563498031,550.1687954660342
B12,14,-177.55,33.45,151359.17,36.25,30.55,75,448.7968973621562,337.20022947918255
B12,14,-159.25,36.15,143346.42,39.15,33.25,75,411.141067328439,349.03181647845213
B12,15,-154.15,30.05,455409.16,39.95,23.85,75,489.11506534326344,952.4427534411996
B12,15,-170.15,20.25,365031.59,23.55,15.15,75,731.0904075579601,496.92665396932165
B12,15,172.65,28.45,1028865.2,42.05,11.75,75,572.5497404096686,1792.4854303893383
B12,15,-84.85,50.65,544206.38,56.45,45.55,75,851.5987186269946,644.8214914601915
B12,16,-54.95,41.25,1044951.8,55.85,24.05,75,551.8211270280179,1881.2223328838604
B12,16,-160.25,33.95,433220.56,39.75,27.65,75,604.5723198930193,715.8110134558086
B12,17,91.95,27.35,138692.31,30.45,22.65,75,298.6737674574692,461.4318929715129
B12,17,-157.75,33.25,272527.03,38.15,27.85,75,446.58878082888543,609.3267304623822
B12,17,-176.05,31.65,267811.28,36.45,24.25,75,366.73778399954625,721.7268069554434
B12,17,178.25,52.35,163300.05,56.05,48.65,75,373.2875317029586,437.7687189729736
B12,17,-88.15,51.85,730293.75,58.15,44.65,75,907.5037458931224,798.6321224506949
B12,18,-160.65,32.05,454699.28,38.15,25.55,100,609.9170060120197,745.3899809539822
B12,18,-50.45,43.75,2265969.0,56.05,28.85,75,1391.6695380615608,1609.0958319006602
B12,18,-178.35,23.75,3011858.5,52.75,1.35001,75,1052.9358677673538,3040.717267232927
B12,19,170.75,38.15,30823.516,39.95,36.75,75,163.29419214410305,189.30539198831323
B12,19,-43.35,11.45,197780.22,16.25,6.55,75,345.01684159332837,573.8319694645737
B12,19,-48.45,5.55,105102.38,9.15,1.95,75,246.91805096070826,425.9371319737042
B12,20,-165.75,26.15,6378236.0,59.55,-4.24999,75,1804.30254021255,3774.27566118764
B12,20,-42.15,-3.85,1270709.5,12.95,-16.15,100,744.7428314190064,1721.4959083937208
B12,20,-51.15,28.15,1294831.9,41.45,13.85,75,797.0613855251939,1632.7590058991996
B12,21,95.05,30.55,44811.645,32.45,28.25,75,180.0257520467633,248.4633269846609
B12,21,-42.65,-6.74999,1098973.2,3.55,-15.55,50,975.7046178773779,1129.916558430243
B12,21,-49.45,20.75,557721.38,28.15,13.05,50,625.5411020279046,893.2848184448516
B12,22,150.05,54.05,41619.48,56.45,51.75,75,149.91001114337203,278.0422944828351
B12,23,-39.35,18.85,2775060.5,34.15,5.75001,50,1680.0905333648104,1680.0847623169275
B12,23,-44.75,-17.25,719229.88,-7.45,-26.75,50,632.4135896172203,1141.7481454295125
B12,23,176.35,11.65,6676821.5,42.45,-20.95,75,1868.5470724430463,3750.6130787684506
B12,23,-170.15,36.15,2108412.5,55.25,16.35,100,929.9095285025087,2301.243671357929
B12,24,-37.75,-7.14999,4027523.5,27.45,-32.85,75,1174.9816013162458,3567.2234802797725
B12,24,-43.15,34.75,1238105.9,46.45,16.35,75,677.079769959194,1780.653843390069
B12,25,-33.15,-6.95,4077268.5,23.35,-32.65,50,1275.9195631337213,3312.844359795477
B12,25,-49.95,28.75,2629064.0,51.65,7.65,50,1044.4143519991649,2602.949139839303
B12,25,177.85,11.25,10170068.0,50.05,-30.35,75,2313.736933681694,4756.297973706363
B12,25,172.05,42.15,105959.52,45.85,38.45,100,242.21283264291867,437.7687189729736
B12,25,23.95,48.45,486429.53,53.55,43.45,75,815.9733957026684,597.4951434631125
B12,26,-39.35,1.05,7000753.5,36.25,-29.65,75,1901.5263635960769,3898.5079162593197
B12,26,-161.15,36.75,118464.74,40.05,34.25,75,347.2275362898052,343.11602297881694
B12,26,171.55,5.35001,7494620.5,35.65,-31.95,50,1979.7426996397091,3999.076405753111
B12,26,173.55,33.45,51035.059,34.95,32.15,75,308.491002278373,165.64221798977408
B12,27,86.95,44.85,3320519.0,57.75,33.25,50,2335.0590412520633,1449.3694074105208
B12,27,-38.95,-0.0499954,7329151.5,38.75,-29.65,50,1929.5587399449023,4046.4027537501893
B12,27,11.95,44.35,698379.69,52.05,35.55,50,711.3115969201516,976.1059274397389
B12,27,-164.65,-5.24999,5423959.5,34.95,-39.85,50,1313.0000329848501,4425.013537726815
B16,1,-102.75,-41.45,427934.34,-36.85,-47.45,75,690.9107249363801,627.0741109612868
B16,1,-43.45,-24.45,2544026.5,-6.64999,-39.85,50,1301.493162112421,1964.0440334580971
B16,2,-66.65,-34.85,315633.25,-28.95,-40.95,75,445.975834475169,709.8952199561738
B16,3,-33.25,-27.95,2573520.8,-1.24999,-45.35,50,972.595103339118,2608.8655249182884
B16,3,-96.95,-51.65,53443.473,-49.15,-54.25,50,177.39212341923397,301.7054684813738
B16,3,-57.25,-57.75,42087.965,-55.65,-59.95,75,165.7217999994242,254.37912048429553
B16,3,32.45,-52.15,121945.08,-47.55,-55.95,50,243.43735440561,496.9266539693218
B16,4,-65.25,-42.55,107413.38,-38.95,-45.55,50,273.94612455422214,390.44237097589524
B16,5,-117.45,-43.45,335112.12,-37.05,-49.85,50,443.4765501261448,757.2215679532521
B16,6,-99.35,-39.15,269942.91,-34.15,-45.95,75,392.45372379341774,698.0636329569043
B16,6,34.85,-53.05,386100.66,-46.05,-59.95,100,470.1483125304872,822.2952964492345
B16,6,-39.15,-22.05,1122226.9,-10.45,-35.95,75,756.398807336273,1508.5273424068691
B16,7,-34.85,-18.05,821399.88,-4.95,-29.45,75,568.3847018690359,1449.369407410521
B16,8,-53.35,-24.85,349021.91,-14.75,-34.25,75,303.168659450337,1153.579732428782
B16,8,33.35,-47.65,385103.09,-39.95,-54.05,75,457.1905851719386,834.1268834485037
B16,9,-160.25,38.85,2363429.8,56.85,22.15,75,1179.974569167432,2052.7803443732687
B16,9,-48.25,-23.45,466541.97,-16.45,-30.15,50,576.3692519290278,810.4637094499649
B16,9,-22.95,-21.65,324848.59,-15.05,-27.85,50,429.3019131307596,757.2215679532518
B16,9,-128.95,-37.85,4952.3599,-36.95,-38.65,75,49.21210695761146,100.56848949379102
B16,10,-95.45,-39.45,146925.28,-32.75,-44.05,75,216.91078112867015,668.48466545873
B16,11,170.55,-51.25,29151.508,-48.55,-53.25,50,104.08472521964826,278.0422944828351
B16,11,38.65,-52.25,121892.68,-48.95,-55.15,75,331.0045566719939,366.7791969773561
B16,12,-44.35,25.15,334326.41,29.95,19.25,50,526.5895318558327,632.9899044609214
B16,12,-63.35,-41.75,241383.27,-36.85,-47.35,75,391.28681939696753,621.1583174616517
B16,13,-51.85,-50.75,30196.463,-48.95,-51.95,50,169.08420731691194,177.47380498904366
B16,13,7.95001,-57.05,52396.152,-54.95,-58.65,50,237.82114459486365,218.8843594864868
B16,14,27.95,-47.85,41067.395,-45.85,-49.45,75,192.12510996605246,212.968565986852
B16,14,-99.45,-43.35,579537.25,-37.55,-49.45,75,826.7579639956191,703.979426456539
B16,15,-31.45,40.85,126342.95,46.25,36.15,50,212.85669065628295,597.4951434631129
B16,15,-66.85,-41.95,91709.297,-39.35,-44.85,75,282.63703490974444,325.368642479913
B16,15,-99.45,-36.25,117230.56,-32.05,-41.35,50,214.5573636813251,550.1687954660349
B16,16,8.85001,-52.55,168109.47,-47.55,-56.35,75,318.8963787846235,520.5898279678606
B16,17,-39.05,44.55,227482.28,48.75,41.35,50,524.5276104543174,437.7687189729736
B17,1,-10.85,46.25,61619.984,51.05,41.75,50,112.43287291131548,550.1687954660346
B17,2,-63.35,-44.95,25484.086,-43.95,-45.95,50,215.4011956607554,118.31586999269577
B17,2,146.35,-52.55,36612.293,-50.05,-54.95,50,126.19897857205898,289.87388148210465
B17,2,136.05,56.15,138988.89,58.35,53.25,50,456.67872695075596,301.70546848137343
B17,4,17.85,-44.25,124226.5,-41.45,-46.55,75,410.14411994942674,301.70546848137343
B17,4,-109.55,-47.75,193076.61,-43.15,-52.35,50,355.1366451245743,544.2530019663998
B17,4,-121.25,-43.25,8247.0264,-42.25,-44.05,50,77.3246452596128,106.48428299342581
B17,4,-87.55,-51.55,92109.992,-49.55,-53.25,75,419.5071594658384,218.88435948648717
B17,4,-179.95,-48.05,410824.09,-37.05,-57.35,75,338.34397127028166,1200.9060804258609
B17,4,122.35,-48.65,71195.93,-45.65,-51.15,50,217.82236416390973,325.368642479913
B17,5,166.45,52.35,73831.562,54.75,50.15,50,272.0020210063927,272.12650098320023
B17,5,-66.65,-33.85,6634.2373,-32.75,-34.65,75,58.922866979784146,112.40007649306098
B17,5,-62.45,-35.95,14743.165,-34.55,-37.45,75,86.00054104528887,171.55801148940924
B17,5,-81.35,-48.85,870931.25,-42.25,-56.35,75,1056.2883052721522,834.126883448504
B17,5,152.85,-39.25,822561.69,-17.95,-56.75,75,355.8594664717038,2295.327877858295
B17,5,179.95,-47.85,339214.53,-37.75,-56.55,50,302.31733245414637,1112.1691779313387
B17,6,155.25,-21.95,631815.06,-12.55,-30.55,75,594.1310753283512,1064.8428299342604
B17,6,-167.95,-50.65,264191.12,-46.05,-53.65,75,578.2540996621552,449.6003059722435
B17,6,-52.35,-36.45,705316.69,-28.35,-44.95,75,722.6148703820868,982.0217209393735
B17,6,-91.95,-52.85,105139.79,-48.95,-55.35,75,273.45439260458124,378.61078397662607
B17,7,-110.85,-42.75,407448.81,-35.45,-48.45,75,524.2290678360818,769.0531549525214
B17,7,-37.05,-22.75,1921454.5,-4.14999,-41.55,50,884.7118744173929,2212.5073604427575
B17,7,166.95,-43.15,94909.469,-40.85,-45.35,100,356.3203993165121,266.2107074835651
B17,7,144.95,-31.95,99433.977,-28.55,-34.95,75,262.1958765630907,378.6107839766259
B17,7,105.75,-19.55,66125.969,-15.45,-23.05,50,146.91396994818626,449.60030597224335
B17,7,-62.15,-54.25,160846.52,-49.35,-58.25,75,302.5145244183165,526.5056214674954
B17,7,15.25,-44.75,98563.961,-41.45,-48.05,75,252.58138852748735,390.44237097589524
B17,8,-99.85,-35.05,126514.86,-31.45,-37.85,75,332.707941000408,378.61078397662567
B17,8,136.45,-16.05,144848.56,-13.15,-18.65,75,445.0202336808939,325.3686424799127
B17,8,145.95,-51.85,15352.996,-49.15,-54.65,50,47.257105070982824,325.3686424799126
B17,8,-66.55,-52.85,79434.406,-50.05,-55.35,50,252.56784834336568,313.5370554806438
B17,9,127.85,-53.15,227488.61,-47.25,-58.05,75,352.4964557250302,638.9056979605564
B17,9,-128.35,-48.65,338582.38,-43.15,-55.15,75,482.62376242535737,709.8952199561735
B17,9,-62.35,-49.45,337753.78,-41.25,-56.75,50,366.1217159463248,916.9479924433911
B17,9,-163.65,-29.45,357382.62,-22.95,-36.15,50,459.1305772755119,780.8847419517907
B17,9,-178.65,-53.25,19877.98,-52.25,-54.25,50,168.01625372479808,118.31586999269577
B17,9,-54.35,-29.85,789699.25,-18.35,-41.15,50,588.7745660063856,1348.8009179167298
B17,10,-49.85,-27.85,1075598.8,-11.85,-43.45,75,581.6623395233423,1869.3907458845904
B17,10,-83.15,-45.65,119605.19,-43.35,-47.45,75,491.038794352782,242.54753348502632
B17,11,-63.45,-40.35,268082.88,-35.65,-44.85,75,492.37056655735074,544.2530019664001
B17,11,138.05,-50.25,84966.648,-47.25,-52.45,75,274.0068478381851,307.6212619810086
B17,12,148.55,-50.55,97697.375,-47.75,-53.45,50,290.1583846151622,337.20022947918255
B17,12,167.35,-56.75,61733.594,-54.55,-59.85,75,199.35861183421022,313.5370554806438
B17,12,-89.55,-39.05,24245.807,-37.45,-40.55,50,132.13191863116293,183.38959848867768
B17,12,-50.05,50.85,109630.38,54.35,49.05,50,356.31337291084174,313.5370554806438
B17,13,-69.75,-41.85,1243905.5,-27.45,-54.85,75,766.4357012282595,1620.92741889993
B17,14,-54.25,-30.25,1537455.6,-13.15,-48.45,75,752.2524916222586,2088.275105371077
B17,14,-78.05,-20.75,161454.14,-18.15,-23.45,75,515.2985695574432,313.5370554806434
B17,14,11.05,-45.75,494585.75,-38.55,-51.75,50,628.0518900261395,780.8847419517909
B17,15,-98.95,-40.75,190353.27,-36.65,-44.45,75,411.6105560746829,461.4318929715131
B17,15,45.85,-47.65,133510.95,-43.55,-51.35,50,288.46119206528437,461.43189297151275
B17,15,-34.35,-19.75,2594173.5,-6.64999,-35.55,50,1547.0791037583276,1709.6649129738012
B17,15,3.75,-41.05,346130.0,-34.95,-46.35,50,510.9945235225116,674.4004589583651
B17,16,-34.45,-15.65,2558012.0,-5.85,-26.95,50,2068.6967290350017,1248.2324284229387
B17,16,-69.95,-36.35,48600.211,-34.35,-38.65,50,191.46863461981135,254.37912048429553
B17,17,-90.75,-43.45,53901.824,-41.25,-45.95,50,194.39910827113135,278.0422944828351
B17,18,-62.05,-42.45,704715.19,-33.55,-51.75,50,659.3989055892796,1076.67441693353
B17,18,-20.95,49.65,191670.45,55.45,43.65,50,274.49681676162413,698.0636329569043
B17,19,-61.45,-41.85,692261.25,-31.05,-51.95,75,559.9633103428071,1236.4008414236691
B17,19,40.95,-51.75,105209.67,-48.55,-54.85,50,282.12435946423096,372.6949904769917
B17,20,39.65,-50.05,355675.5,-44.35,-54.05,75,609.8325279247464,573.8319694645734
B17,20,168.25,-48.45,383357.09,-37.75,-59.25,75,303.48068763407474,1271.8956024214779
B17,20,-30.55,-17.15,878238.62,-8.55,-25.75,50,866.3692801125895,1017.5164819371821
B17,21,-102.65,-36.55,177350.98,-28.75,-41.15,50,237.41883697336877,733.5583939547126
B17,22,-78.65,-36.65,113068.26,-33.35,-39.45,75,312.46365773933235,360.8634034777217
B17,22,-50.65,-28.15,163444.73,-22.95,-33.85,75,254.45195684585966,644.8214914601909
B17,22,-123.45,-53.65,272529.91,-47.25,-59.65,75,370.4886467214426,733.558393954713
B17,22,-127.75,-41.75,41127.273,-38.95,-44.05,50,135.8332838806239,301.70546848137343
B17,23,156.25,-27.65,32796.957,-25.45,-29.65,75,131.90833189649337,248.46332698466074
B17,23,-46.25,-22.35,888021.69,-10.25,-33.45,75,649.1642710599584,1372.4640919152694
B17,23,39.75,-43.75,608909.25,-34.55,-51.75,75,594.7503837797249,1017.5164819371824
B17,23,-90.85,-44.65,27490.402,-43.15,-46.15,50,154.91605943516788,177.47380498904326
B17,23,-14.35,43.55,398428.53,53.75,34.45,50,353.8642770076414,1141.7481454295125
B17,24,148.25,-39.35,109061.73,-36.85,-41.75,100,376.08427475828984,289.87388148210385
B17,24,53.25,-48.55,353785.94,-43.75,-52.85,50,654.6459692650011,538.337208466765
B17,24,84.25,-47.95,629347.5,-32.75,-58.25,75,401.973323223432,1508.5273424068691
B17,24,-89.15,-38.15,16259.692,-36.65,-39.45,75,98.03703236390618,165.64221798977408
B17,24,26.15,-42.95,99331.406,-39.35,-44.95,50,296.1365292062506,331.28443597954777
B17,24,117.95,-46.85,142412.77,-43.75,-50.55,50,356.2217780879474,402.2739579751648
B17,25,89.75,-51.55,265121.91,-47.45,-56.15,75,518.4751738438807,514.6740344682255
B17,25,61.45,-31.05,74354.648,-28.75,-33.45,50,267.63778584629637,278.0422944828351
B17,25,142.65,-50.05,199239.41,-45.65,-55.15,50,357.53886268223727,562.0003824653041
B17,25,-56.45,-27.75,376216.25,-17.75,-34.85,75,368.497841902652,1011.6006884375474
B17,25,162.95,-43.75,998073.5,-31.05,-54.85,75,704.6523655215868,1407.9588529130776
B17,25,-13.85,50.25,199335.39,54.55,46.75,50,435.99726846723195,461.43189297151275
B17,26,-31.85,-15.75,541512.81,-7.45,-25.15,50,520.6527493144453,1047.095449435356
B17,26,-179.05,-52.45,32060.188,-50.05,-54.45,75,122.64281684633784,260.29491398393066
B17,27,120.95,-49.55,138641.34,-45.05,-51.75,75,342.00533058673534,396.35816447553043
B17,27,-125.45,-49.85,654471.81,-42.45,-56.55,50,780.9617332067065,834.1268834485037
B17,27,-58.45,-45.85,567001.25,-32.05,-56.55,75,383.65217639450526,1449.3694074105213
B17,28,-34.45,-22.75,1040964.4,-15.25,-30.95,50,1127.2099181963722,928.7795794426606
B17,28,-83.35,-52.45,483089.0,-47.95,-57.85,75,834.4356470945071,585.6635564638433
B17,28,-84.05,-41.65,219015.69,-37.05,-45.15,75,453.5933709712147,479.1792734704171
B17,28,63.15,-31.25,134149.45,-28.35,-34.25,75,384.7210789626999,349.03181647845196
B17,28,153.45,-46.65,1137885.8,-33.95,-56.15,75,847.1454966625456,1313.3061569189208
B17,29,153.15,-27.55,143113.02,-21.85,-32.85,50,219.86350881832595,650.737284959826
B17,29,-57.55,-42.65,1951421.1,-21.85,-58.65,75,878.8410766011805,2177.012007865599
B17,30,-46.75,-32.05,3285469.0,-11.65,-55.35,50,1323.6036061784619,2585.201759340399
B17,30,48.95,-41.35,464408.78,-33.95,-49.65,75,505.09499857043943,928.7795794426598
B17,30,124.35,-47.35,169907.58,-43.35,-50.55,75,396.1726914111649,425.937131973704
B17,30,13.45,-51.55,642668.31,-47.25,-55.55,50,1305.7122804938226,491.0108604696867
B17,30,81.05,-33.55,25550.391,-32.05,-34.85,50,154.08772013526124,165.64221798977408
B17,31,-39.95,-21.35,2719706.8,-3.14999,-45.35,75,1138.4140093768044,2496.4654484252274
B17,31,-77.25,-45.55,160549.64,-42.75,-48.25,75,493.19015124916854,325.368642479913
B17,32,144.95,-37.15,211917.44,-30.45,-43.85,75,267.94096885016023,792.7163289510605
B17,32,61.85,-30.15,21625.486,-28.35,-31.55,75,114.020338274662,189.30539198831303
B17,32,-59.85,-39.55,356228.69,-35.65,-43.85,50,737.1045571741535,485.09506697005224
B17,32,-75.25,-33.05,71483.055,-30.85,-35.35,75,268.7423069353264,266.2107074835651
B17,32,-38.25,-16.65,748790.81,-10.25,-23.05,50,990.9255600333457,757.2215679532519
B17,32,45.75,-48.75,115202.52,-44.35,-52.45,75,238.95664446236768,479.1792734704171
B17,32,-100.15,-34.95,48568.879,-31.05,-39.45,50,98.18676981727535,496.9266539693215
B17,32,138.55,34.75,30043.023,37.05,32.15,75,103.48570242550308,289.87388148210425
B17,33,-60.85,-33.55,75001.594,-30.85,-36.15,50,239.1582570188748,313.537055480643
B17,33,44.95,-46.55,540902.62,-37.05,-52.85,75,564.1242297909918,934.6953729422954
B18,1,44.15,-45.25,423189.81,-35.65,-52.35,50,420.71865999352934,987.9375144390085
B18,1,-73.25,-47.95,720516.75,-38.15,-54.95,75,708.5942857038369,993.8533079386433
B18,1,-156.95,-41.35,112746.68,-38.55,-44.45,75,323.91712470676583,349.03181647845213
B18,2,50.95,-39.55,258563.5,-32.45,-46.35,50,314.53467611565634,822.2952964492345
B18,2,-46.45,-42.05,885427.25,-31.65,-52.65,50,717.8589186166118,1242.316634923304
B18,2,100.25,-8.95,412168.84,-0.849998,-19.05,50,385.54918843670504,1076.6745352494002
B18,2,132.25,-48.95,40867.094,-46.25,-50.55,50,158.94721427874538,254.37912048429553
B18,3,-33.95,-41.05,466679.41,-33.15,-47.65,50,540.2012227584834,857.7900574470432
B18,3,-92.45,-41.85,436204.34,-35.85,-46.55,75,683.2216106907299,632.9899044609213
B18,3,65.65,-30.25,50851.941,-28.35,-32.15,75,226.2510125984592,224.8001529861214
B18,3,103.15,-39.65,591308.56,-28.95,-50.15,50,473.49837156842455,1254.1482219225732
B18,3,156.15,-42.65,226241.06,-36.65,-49.25,50,305.61106268371003,745.3899809539826
B18,4,-69.55,-36.75,1459176.0,-25.25,-51.95,50,955.7623411390751,1579.5168644024866
B18,4,160.35,-39.85,401534.28,-33.95,-46.15,50,559.0367330785136,721.7268069554426
B18,4,160.35,-14.65,57591.539,-12.25,-16.75,50,216.24653704723414,266.2107074835652
B18,4,-169.35,-37.15,110154.41,-33.15,-40.75,75,244.53964563560928,449.6003059722435
B18,4,-170.15,-49.25,65857.094,-46.45,-51.75,50,209.4847885497202,313.537055480643
B18,5,-53.65,-30.35,1237818.9,-12.25,-45.15,75,634.3768639754443,1946.2960613798423
B18,5,-127.45,-51.95,81308.266,-49.15,-54.25,50,268.0924929083661,301.7054684813738
B18,5,63.55,-29.85,24963.863,-28.55,-31.15,75,162.31651142467643,153.81063099050394
B18,5,-158.95,-38.65,24719.117,-37.05,-39.85,50,148.83227122994634,165.64221798977408
B18,5,45.25,-46.25,77610.195,-42.55,-49.25,50,194.68119353372748,396.35816447553043
B18,6,-24.85,-18.05,1348830.2,-2.05,-38.65,50,642.6054487469461,2165.1804208663293
B18,6,80.25,-36.45,73426.539,-33.95,-39.25,75,234.7259590509027,313.537055480643
B18,6,-157.95,-40.15,48195.574,-37.95,-42.35,50,185.2030765541922,260.2949139839299
B18,6,-72.85,-45.25,648582.25,-36.65,-53.85,75,639.8167015546451,1017.5164819371824
B18,7,93.25,-35.45,279841.12,-29.55,-41.55,75,395.4139598415319,709.8952199561735
B18,7,-156.45,-40.45,33166.598,-37.75,-42.65,50,114.02910679094525,289.87388148210425
B18,7,-55.95,-41.25,948340.06,-33.15,-49.45,50,987.5558871361458,964.2743404404694
B18,7,-123.15,-43.65,196185.02,-39.15,-47.35,50,402.10315666689985,485.0950669700519
B18,8,61.05,-32.65,60971.832,-30.85,-34.25,75,302.8421297807081,201.1369789875824
B18,8,153.85,-45.15,804394.38,-34.15,-51.35,75,762.1101405322557,1017.5164819371821
B18,8,-73.15,-42.75,499031.81,-37.95,-47.85,75,855.21280820315,585.663556463843
B18,8,-85.75,-50.85,222016.25,-46.85,-54.25,75,504.27063239073595,437.76871897297394
B18,9,-174.05,-43.55,299986.31,-34.75,-50.95,75,310.4833501462471,958.3585469408346
B18,10,-0.849991,-48.45,192493.84,-41.85,-53.85,50,268.49665782583475,709.8952199561735
B18,10,-135.45,-44.95,46549.102,-43.35,-46.55,50,245.92618336377043,189.30539198831283
B18,10,64.65,-31.05,19801.02,-29.95,-31.75,75,185.57130451763368,106.48428299342619
B18,11,-80.65,-45.45,166468.98,-42.45,-47.65,75,537.5359102770076,307.6212619810082
B18,11,-41.15,-24.55,28026.102,-22.55,-26.15,50,131.41028578547073,212.968565986852
B18,12,-63.85,-40.55,764473.31,-34.75,-47.45,75,1028.1033619785799,751.3057744536173
B18,12,-68.25,-28.85,11139.898,-27.55,-29.85,100,81.76079728659404,136.06325049159994
B18,12,174.05,-34.55,66183.703,-31.65,-37.65,75,186.77044999178247,354.9476099780869
B18,13,-45.25,-36.75,613033.25,-26.65,-45.75,50,541.2131935540408,1129.916558430243
B18,13,28.35,-50.95,713914.06,-44.95,-56.15,50,1070.0291915049359,662.5688719590952
B18,13,-93.05,-47.15,120350.15,-42.55,-50.95,75,240.60112099012363,496.9266539693218
B18,14,-66.15,-45.25,884878.44,-35.85,-53.45,75,844.3581148023527,1041.1796559357213
B18,15,105.75,-16.65,520346.56,-6.24999,-26.55,50,435.0058767984998,1200.9066720052103
B18,15,158.95,-43.15,265750.59,-33.95,-49.85,75,277.823015239889,940.6111664419299
B18,15,-48.45,-37.55,1531149.8,-25.45,-46.95,50,1189.7087287444363,1271.8956024214779
B18,16,139.35,-16.65,35044.453,-14.55,-18.45,50,151.80536082703375,230.71594648575638
B18,17,-29.85,-11.75,1040800.1,-2.45,-21.75,50,917.0911113992858,1141.7481454295125
B18,17,-130.55,-50.75,218413.86,-44.95,-55.35,50,351.012693164804,615.2425239620172
B18,18,-82.95,-46.85,400382.69,-39.75,-52.35,50,530.381228774259,745.3899809539822
B18,19,-64.95,-40.65,837293.88,-33.95,-50.35,50,886.1954070233376,970.1901339401038
B18,19,76.25,-34.95,80734.508,-31.45,-37.85,50,212.5747018976969,378.61078397662567
B18,19,47.35,-38.85,46957.738,-34.35,-43.25,50,89.21458856687786,526.5056214674954
B18,19,152.45,-42.75,115351.48,-35.85,-46.15,50,184.4441431853737,609.3267304623821
B18,20,-57.85,-37.55,370752.28,-30.45,-43.05,50,493.1524849656059,745.3899809539822
B18,21,-33.25,-15.15,696249.38,-5.05,-25.75,75,572.3523881219417,1224.5692544243996
B18,22,-29.45,-8.35,416862.81,-2.05,-14.05,50,587.8483028071067,709.8952199561736
B18,22,-169.75,-51.45,67624.664,-47.75,-55.15,50,154.58319765855487,437.7687189729736
