epoch,train_loss,val_loss,val_mAP,val_mAP_50,val_mAP_75,epoch_time_sec
1,1.50964594,1.282350707,0.00109425,0.006240251,5.55E-05,1771881795
2,1.329294399,1.196790561,0.002262637,0.010091758,0.000249353,1771885094
3,1.2455287,1.19782078,0.001929015,0.009074982,0.000154556,1771888400
4,1.423820885,1.24825342,0.001060017,0.00518281,2.03E-05,1771891805
5,1.226315417,1.138633461,0.00545192,0.01887037,0.002112241,1771895189
6,1.176110407,1.131821496,0.007731268,0.029255103,0.001305581,1771898492
7,1.154976109,1.105744169,0.009174057,0.03657696,0.001625711,1771901853
8,1.139753193,1.126287329,0.007518978,0.028181395,0.000914993,1771905163
9,1.130989077,1.090061061,0.005579073,0.023576694,0.000860373,1771908382
10,1.12417138,1.075170961,0.012382996,0.04627749,0.002146054,1771911561
11,1.103231333,1.078716204,0.012305115,0.043754905,0.001385442,1771914751
12,1.096793799,1.047638714,0.011746679,0.040968362,0.001281625,1771917931
13,1.090685802,1.054768437,0.009627855,0.035693198,0.001872968,1771921141
14,1.078650047,1.038487603,0.020282909,0.071993247,0.004144333,1771924314
15,1.069752748,1.032291403,0.016185932,0.058739513,0.00174747,1771928542
16,1.063104369,1.002437849,0.016094588,0.057579212,0.002382438,1771933708
17,1.060854969,1.048756358,0.018024737,0.055385113,0.010758253,1771937457
18,1.054445874,1.061918388,0.016597429,0.058615562,0.002539143,1771941039
19,1.071597674,0.994408877,0.021848472,0.071780942,0.009610805,1771945226
20,1.034222976,0.99926239,0.013243461,0.050362196,0.002142879,1771949566
21,1.033144208,1.002858991,0.016392821,0.058639739,0.00161293,1771996732
22,1.029500021,0.995731219,0.018461701,0.061204411,0.005075098,1771999888
23,1.025030216,0.996485196,0.018647775,0.06234739,0.006846752,1772003095
24,1.025584889,0.969763705,0.029772086,0.088623255,0.014292334,1772006235
25,1.016720362,0.961512325,0.025985947,0.08604075,0.007725029,1772009346
26,1.038247437,0.98343195,0.027935555,0.096975796,0.005711298,1772012551
27,1.003740633,0.975850596,0.024550477,0.077564955,0.011762758,1772016874
28,1.004170586,0.948628815,0.022764711,0.079806723,0.005012329,1772020176
29,0.997537791,0.964536442,0.025648728,0.090149984,0.004074452,1772023525
