epoch,train_loss,val_loss,val_mAP,val_mAP_50,val_mAP_75,epoch_time_sec
1,0.41449135703885037,0.40104917551462466,0.00235225,0.009586403,0.000249839,1770913177.9704168
2,0.3769482214813647,0.38902964557592684,0.010110372207296481,0.027508459175852106,0.010105983996676173,1770913719.0051808
3,0.3797181136582209,0.37067484626403224,0.009016667,0.033811388,0.000217759,1770914264.7772343
4,0.3793068638962248,0.4212997383796252,0.011962867711351115,0.046089107,0.002299263,1770914800.2201457
5,0.383721285,0.42461202809443843,0.022026712239437085,0.065120181,0.012461259022936924,1770915389.4645915
6,0.3850908697299335,0.3991099183376019,0.021502243,0.065529236,0.013897315269835918,1770915963.119012
7,0.3802316300894903,0.4161986376230533,0.022463586399095948,0.075425563,0.006146277,1770916548.704815
8,0.3753747728207837,0.38955773183932674,0.025881080690227386,0.079697773,0.013856458597858282,1770917157.4208975
9,0.3809814340394476,0.4003293445477119,0.025386830828090567,0.075792928,0.012529299720348363,1770917722.987373
10,0.3847052845617999,0.4130124438267488,0.027940774261070153,0.095201491,0.004247087,1770918342.9142497
11,0.3823947699821514,0.41047697227734786,0.024639471111144038,0.07731288,0.013032144632543189,1770918948.9112499
12,0.38455319061227466,0.383108041,0.031356081,0.098480671,0.014701558917262193,1770919516.320892
13,0.3748352945498798,0.38984295381949496,0.032678311811147547,0.11389890174697519,0.004297872,1770920079.3011105
14,0.3816531355614248,0.42293489552461183,0.033028001,0.11013010127558212,0.008606976,1770920615.6647356
15,0.3823894789037497,0.3867234524625998,0.030477087,0.097962031,0.008258732,1770921183.7496843
16,0.3806052056343659,0.38135984310737026,0.037493977,0.1267596393489021,0.008421526,1770921722.2346256
17,0.37573078967954804,0.3981360357541304,0.040356556400767164,0.13036430296138243,0.016716602561271082,1770922273.3913956
18,0.37677919171426605,0.4090799425656979,0.039332918707669876,0.129714831,0.014111394,1770922828.4648097
19,0.37954346129427785,0.4091977213437741,0.039722329,0.13334648865404147,0.010625137799669965,1770923351.7869718
20,0.37766681805900904,0.40022628754377365,0.039530445,0.1211388047993457,0.007041991,1770923855.3021786
21,0.37936230710019236,0.3869806081056595,0.047154183499888015,0.15666387190211603,0.009078375,1770924450.9333076
22,0.3803980802712233,0.4134163592870419,0.041510592,0.13639957989048837,0.018728063266666862,1770925061.836717
23,0.3850575607108033,0.3957512413079922,0.046127573,0.14433836138066072,0.015345838882707033,1770925662.6218898
24,0.37703777454469517,0.39413825193276775,0.045845171,0.14091605976063398,0.020170803899050693,1770926239.9772675
25,0.38689414735721506,0.4147499260994104,0.046821513,0.14388864972583176,0.021789315,1770926793.6175776
