epoch,train_loss,val_loss,val_mAP,val_mAP_50,val_mAP_75,epoch_time_sec
1,493.7961204,52.28217597,0.000139606,0.000481298,3.40E-05,1771861456
2,448.2014036,50.43234918,0.000583657,0.002234026,0.000186811,1771864560
3,441.6788064,51.18261679,0.000982696,0.003918566,0.000202061,1771867730
4,439.2285905,50.48789334,0.001912524,0.007770505,0.000152223,1771870924
5,437.5979813,50.4777421,0.002591285,0.010269506,0.000388104,1771874106
6,434.3015992,49.93255033,0.00376798,0.014502966,0.000757066,1771892471
7,433.3303629,50.92425974,0.005320867,0.019026496,0.002592737,1771895635
8,431.1713208,51.5904972,0.010293973,0.028631521,0.010223527,1771898804
9,432.7452445,51.2106915,0.010054515,0.031427819,0.002141598,1771902043
10,433.7659082,51.52163827,0.009328725,0.032854509,0.002826361,1771905213
11,432.0807106,51.93174902,0.012859304,0.039302494,0.010501399,1771908363
12,432.6992171,51.11170759,0.014347422,0.041055221,0.010564551,1771911457
13,430.7198163,50.07180408,0.013718949,0.04044741,0.010304479,1771914588
14,432.3583527,51.63157293,0.016474038,0.047660358,0.010874467,1771935394
15,432.1299399,51.95828233,0.016003937,0.045660876,0.010676203,1771938653
16,431.9303043,52.51569323,0.01864318,0.054160472,0.011096522,1771941932
17,431.8927898,51.46405889,0.018702751,0.059732728,0.01143002,1771945447
18,429.988969,52.06583427,0.020643491,0.063781127,0.011654363,1771949009
19,430.9287479,51.05709478,0.021501802,0.065445855,0.011039202,1771952397
20,431.3297553,51.27841615,0.022671396,0.068694286,0.011285252,1771955598
21,431.4784229,50.45768361,0.023807485,0.072905861,0.011497414,1771958784
22,431.1412908,53.17913733,0.026149999,0.079069175,0.011855152,1771968897
23,432.4280905,51.58049244,0.025369067,0.078985855,0.012081702,1771972030
24,432.3178522,51.95478539,0.027969761,0.086046599,0.012158432,1771975204
25,430.0534793,52.62098031,0.029682318,0.088883489,0.013170975,1771978354
26,429.070029,50.99038544,0.028129907,0.085671403,0.012156738,1771981545
27,427.909974,51.06332394,0.030430641,0.089509659,0.012407868,1771984749
28,428.8171518,52.80623912,0.032184247,0.093295649,0.013605317,1771987990
29,429.7411344,52.07733136,0.033331674,0.099982955,0.015307901,1771991173
30,428.5010992,51.03718732,0.032011054,0.099027425,0.01417493,1772011393
31,427.5570547,51.34218966,0.032460336,0.097246118,0.013652913,1772015433
32,428.7951945,51.67669202,0.033546504,0.10445793,0.013719014,1772018795
33,428.346508,53.54214506,0.036621381,0.111072659,0.014553793,1772022072
34,427.2132712,51.40332091,0.036396377,0.108754642,0.014308206,1772025354
35,426.9584979,50.71919724,0.034983102,0.104837582,0.014923347,1772028676
36,428.0208032,53.0553908,0.03639017,0.113307618,0.015549241,1772033608
37,426.2625002,52.35213317,0.039302271,0.119019806,0.015064836,1772060174
38,427.5999402,52.89534536,0.040006593,0.118352287,0.014849151,1772063391
39,425.1036576,51.59791058,0.0390172,0.116711505,0.014918217,1772066670
40,426.2011518,51.63915616,0.039603036,0.122220308,0.015757648,1772069866
41,424.4758768,52.16637374,0.043418098,0.132964641,0.015995629,1772073063
42,425.5830401,52.7434085,0.04165205,0.129973575,0.015322941,1772076251
43,424.8686557,51.15077814,0.042844921,0.130919188,0.015811831,1772079421
44,425.6889891,51.43643793,0.043212365,0.130788833,0.016957972,1772082621
45,424.3457988,52.13798112,0.044495817,0.136769623,0.016262168,1772104266
46,425.4023367,49.7185553,0.041445825,0.131580919,0.015968286,1772107356
47,423.2118827,51.71468418,0.045976266,0.142680943,0.019035188,1772114506
48,424.2819993,52.0211086,0.042532742,0.133664668,0.015413754,1772117959
49,424.9736732,52.06759698,0.047567617,0.144365788,0.01784928,1772121052
50,426.2390904,51.31186322,0.04860159,0.148258165,0.017103484,1772124098
51,424.8304023,51.96666501,0.048452664,0.147022709,0.017529678,1772127115
52,426.7883085,50.61385483,0.04578929,0.138881937,0.018819518,1772133556
53,423.7822046,51.60369987,0.049977217,0.149673894,0.019692132,1772136725
54,423.5774747,52.5943113,0.049349129,0.153544798,0.018272949,1772139933
55,423.8716047,52.1473522,0.050725866,0.156004921,0.016077382,1772143120
56,424.369953,49.78897423,0.05103467,0.153097868,0.019561676,1772146323
57,421.998827,51.48551062,0.048894126,0.150358677,0.017357817,1772149487
58,423.9332863,51.70944169,0.05258185,0.159668207,0.020873465,1772152631
59,423.0539676,50.96907721,0.052931674,0.159080967,0.019663295,1772155773
60,423.7082831,50.13986802,0.053888671,0.158959255,0.021149786,1772158960
61,422.583664,51.40834115,0.054863598,0.16541107,0.021841001,1772186611
62,421.4657388,50.60147417,0.053241689,0.162405849,0.020661261,1772189657
63,423.178487,52.77999,0.057230484,0.170649022,0.022285618,1772192823
64,424.132625,51.5589158,0.054886755,0.164998889,0.020078545,1772198338
65,421.1538893,50.54845899,0.056929171,0.172192112,0.0227724,1772201546
66,421.5522468,51.25366423,0.056857415,0.168087572,0.021549407,1772221181
67,419.3382533,50.70181081,0.055980895,0.170006007,0.02046903,1772224227
68,421.1126644,53.03378038,0.059475701,0.174626023,0.024398349,1772227351
69,422.9497899,51.17777327,0.060072202,0.183380827,0.024046175,1772230470
70,419.836853,51.52980646,0.058632564,0.176688328,0.022412943,1772233568
71,420.1351184,51.67164364,0.058482632,0.176284909,0.022791658,1772236651
72,419.8938605,51.06567986,0.059859008,0.177891776,0.023880698,1772239723
73,418.9362681,49.56981063,0.057628077,0.174394742,0.021597805,1772242843
74,423.0004676,50.05061117,0.062607698,0.189328879,0.022748178,1772245916
75,420.4879994,51.11390699,0.062598743,0.188466445,0.025590539,1772280568
76,421.3576497,52.37231572,0.064066812,0.188130289,0.025421768,1772283688
77,419.2894207,52.16039741,0.061710119,0.186969981,0.025308661,1772286893
78,419.4024138,50.6312168,0.065957814,0.194231987,0.029695969,1772290181
79,422.8344789,51.80866185,0.062363293,0.191734135,0.022808792,1772293505
