filename,date,lat_min,lat_max,lon_min,lon_max
Downloads/mrom_0799_F22_044312_0927_MA_00N083W_2016-01-09_-37to-23_268to289.tif,2016-01-09,-37,-23,268,289
Downloads/mrom_0800_F22_044392_0955_MA_00N107W_2016-01-15_-40to-24_244to265.tif,2016-01-15,-40,-24,244,265
Downloads/mrom_0800_F22_044438_0971_MA_00N282W_2016-01-19_-16to5_69to90.tif,2016-01-19,-16,5,69,90
Downloads/mrom_0801_F22_044479_0985_MA_00N321W_2016-01-22_26to41_30to51.tif,2016-01-22,26,41,30,51
Downloads/mrom_0801_F22_044510_0996_MA_00N088W_2016-01-24_-35to-21_263to284.tif,2016-01-24,-35,-21,263,284
Downloads/mrom_0801_F22_044511_0996_MA_00N115W_2016-01-24_-38to-22_236to257.tif,2016-01-24,-38,-22,236,257
Downloads/mrom_0801_F22_044513_0997_MA_00N170W_2016-01-24_-9to9_181to202.tif,2016-01-24,-9,9,181,202
Downloads/mrom_0802_F23_044681_1056_MA_00N076W_2016-02-07_-55to-31_275to296.tif,2016-02-07,-55,-31,275,296
Downloads/mrom_0802_F23_044682_1056_MA_00N103W_2016-02-07_-39to-23_248to269.tif,2016-02-07,-39,-23,248,269
Downloads/mrom_0803_F23_044721_1070_MA_00N087W_2016-02-10_-57to-31_264to285.tif,2016-02-10,-57,-31,264,285
