Date,L_s,min_lat,max_lat,min_lon,max_lon,global_water_mean,global_temp_mean,storm_water_mean,storm_temp_mean
7/9/2016,217.9984273,-52,-16,128,149,0.000292563,211.5009852,9.38E-05,216.6473128
21/6/2016,172.2855755,-47,-10,348,369,0.000814244,189.7804969,0.00042151,187.5321496
28/2/2017,324.7443445,13,44,1,22,0.000559129,198.1957266,0.000381561,188.4303965
22/6/2016,172.8366187,-45,-18,326,347,0.00057462,192.3470923,0.000297557,198.0889071
25/2/2017,323.0628278,-62,-9,264,285,0.000225123,202.9354686,0.000717522,211.8172937
13/6/2016,167.9114081,-52,-37,226,247,0.001766514,177.5508687,0.002750836,179.0018858
11/1/2017,296.8418538,6,27,203,224,0.000245172,203.9358249,0.000302379,207.8000417
22/2/2017,321.3727463,20,35,84,105,0.000312147,201.4410503,0.000261184,206.4047018
15/6/2016,168.9992667,-59,-36,67,88,0.001653519,172.146646,0.001879175,190.1979587
5/5/2016,147.4315445,-51,-33,142,163,0.001856247,170.5925416,0.00131405,174.3757783
22/3/2016,125.8309576,-41,-24,251,272,0.000768638,180.3608653,0.00118297,178.3493236
17/3/2017,334.111069,-57,13,197,218,0.000224746,207.3394992,0.000189676,210.3863953
14/6/2016,168.4548651,-57,-38,285,306,0.001743672,173.4023361,0.004340145,175.0032321
17/6/2016,170.0909085,-55,-18,328,349,0.001690853,181.8267194,0.001085868,190.0102005
21/3/2017,336.275216,-44,8,191,212,0.000240112,209.7305433,0.000208573,211.163788
22/1/2017,303.4174737,27,43,341,362,0.000284806,201.3542583,0.00013264,200.5132879
11/6/2016,166.8273225,-58,-39,325,346,0.001743545,170.627355,0.001615353,174.7060819
1/3/2017,325.3029445,-5,31,202,223,0.000317189,205.5687487,0.000294136,210.3085782
24/5/2016,157.2380086,-56,-22,97,118,0.001815192,171.7931976,0.001410139,182.0472871
10/6/2016,166.286691,-52,-31,183,204,0.00178208,176.8230685,0.001271788,177.8717878
5/4/2017,344.2582909,38,58,130,151,0.001901053,180.6108432,0.001991596,180.5794796
26/9/2016,229.8310912,-2,31,333,354,0.000259308,210.882426,0.000344619,213.7411951
16/2/2017,317.9669803,25,47,245,266,0.000701758,198.0615782,0.000157648,202.0873154
15/2/2017,317.396048,25,47,240,261,0.000686294,197.3325044,0.000149045,202.8735952
12/6/2016,167.3688944,-56,-37,52,73,0.001783532,175.4120873,0.002033462,190.4350681
11/5/2016,150.4945256,-42,-25,58,79,0.001429239,180.4389095,0.001219603,191.8330528
20/5/2016,155.147191,-44,-27,327,348,0.001777509,180.6164637,0.001108319,180.7432931
31/1/2017,308.7205107,24,51,-1,20,0.00133633,191.7358924,0.000240834,184.6308884
27/12/2016,287.7218047,30,57,213,234,0.001520487,184.2163474,0.000395367,198.8872906
10/4/2017,346.8737436,42,58,155,176,0.002139164,175.858124,0.00148106,183.4622575
21/8/2016,207.6004578,-35,2,102,123,0.000392261,206.9211337,0.000400879,209.6208489
23/4/2017,353.5709941,40,59,134,155,0.00223431,175.3925807,0.001298517,176.5305125
23/8/2016,208.8129446,6,63,330,351,0.001799307,182.5222432,0.0020807,194.0669781
21/4/2017,352.550129,40,58,124,145,0.002553813,174.0074336,0.001860729,173.8305775
18/1/2017,301.0380052,27,56,15,36,0.001478449,186.8374677,0.00047258,196.2841766
27/7/2016,192.7200753,-56,-41,112,133,0.000471974,192.3503646,0.000139167,198.0121053
10/7/2016,182.9182512,-25,-3,249,270,0.0006072,200.8534444,0.001917455,193.8994792
24/5/2016,157.2380086,-57,-27,70,91,0.001677548,170.2502436,0.001023623,185.3868786
12/7/2016,184.0574207,-60,-27,232,253,0.000961351,185.9438089,0.000996691,189.1678025
14/12/2016,279.6928314,-18,-5,284,305,0.000263773,207.1291244,0.000279846,207.1650066
24/8/2016,209.4203236,-11,34,199,220,0.000313147,204.7750836,0.000344928,209.9473349
4/2/2017,311.0542141,5,48,243,264,0.001050086,195.1409805,0.000392734,201.2859427
9/5/2016,149.4701353,-58,-30,299,320,0.001689554,165.6054991,0.00183583,170.6148889
20/6/2016,171.7354836,-49,-35,65,86,0.000822866,186.9935714,0.000893841,199.9018935
30/7/2016,194.4773083,-58,-39,296,317,0.00069575,190.0150457,0.000609975,198.1018749
14/9/2016,222.3351358,-9,47,333,354,0.000492899,203.6873878,0.001962232,204.5115262
16/5/2016,153.0705918,-40,-22,171,192,0.001727092,182.3907676,0.00136596,184.5809818
30/4/2017,357.1176374,25,48,60,81,0.001091774,188.5813653,0.000143107,197.4965873
6/2/2017,312.2156012,-18,22,226,247,0.000276115,204.7040241,0.000729895,195.9232523
13/1/2017,298.0448333,25,58,-6,15,0.001847981,183.5816575,0.00047029,174.0960635
3/2/2017,310.4721495,21,47,320,341,0.000785925,196.8996314,0.00024098,203.8914935
9/2/2017,313.950782,20,42,323,344,0.000422828,199.9071639,0.000155285,206.7363587
21/1/2017,302.8238842,26,61,199,220,0.00180629,181.0412807,0.000764603,196.8635201
6/6/2016,164.1335363,-51,-29,135,156,0.001555704,177.7208779,0.001686143,182.5360218
19/1/2017,301.6341446,16,30,243,264,0.000216852,203.8267586,0.000247647,202.1762892
19/4/2016,139.4084833,-49,-27,225,246,0.001506875,173.5725446,0.000956572,178.3586022
24/5/2016,157.2380086,-54,-30,293,314,0.001731436,172.3059328,0.002734731,174.9193919
10/5/2016,149.9819028,-48,-31,195,216,0.001671326,174.0551379,0.001297631,178.1361256
27/1/2017,306.3724219,38,55,33,54,0.001280539,187.8886706,0.000780179,192.5092101
12/1/2017,297.4437453,30,63,235,256,0.001953361,176.5553536,0.001042206,193.1428739
13/5/2016,151.5223512,-33,5,96,117,0.00121182,187.3440162,0.001168509,189.552719
17/6/2016,170.0909085,-55,-38,219,240,0.001625955,179.7672794,0.001954416,182.245114
1/1/2017,290.7802425,25,41,321,342,0.000210258,203.2366569,0.000120433,205.8129385
7/4/2017,345.3071614,16,37,331,352,0.000290205,202.3527354,0.000540221,202.0586537
12/5/2016,151.0080072,-17,5,91,112,0.001411303,188.4217567,0.001394318,189.4100237
10/3/2016,120.1711642,-51,-34,303,324,0.000522013,172.8171648,0.000471765,172.7293311
15/2/2017,317.396048,13,40,327,348,0.000358308,201.4912199,0.000175127,207.9995513
11/2/2017,315.1029375,-1,36,219,240,0.000395865,200.1503877,0.00064072,198.2125155
26/2/2017,323.6242858,18,39,323,344,0.000396229,201.3650838,0.000501579,206.1085288
23/2/2017,321.9370573,-49,47,226,247,0.000594094,198.2092048,0.000207745,203.6707095
16/1/2017,299.8432141,24,58,201,222,0.001876751,184.1293118,0.000389395,200.6353753
15/3/2017,333.0233424,38,60,160,181,0.001860917,180.0080135,0.00136235,187.8582759
8/6/2016,165.2082428,-55,-34,146,167,0.001453699,175.0569533,0.001063881,176.1973119
15/1/2017,299.2445738,36,52,5,26,0.001195982,191.109318,0.000470209,187.8101823
1/4/2017,342.1496905,18,44,192,213,0.000554465,199.0179102,0.000239447,203.226356
10/6/2016,166.286691,-54,-30,320,341,0.001727993,176.070157,0.00095885,180.7784859
22/2/2017,321.3727463,-39,41,221,242,0.000326362,202.9906744,0.000373091,200.298705
19/8/2016,206.3910476,-26,-2,92,113,0.000387394,205.4633163,0.000516182,209.2992892
8/6/2016,165.2082428,-54,-35,282,303,0.001473706,175.5466962,0.001909651,177.3082
16/2/2017,317.9669803,14,61,217,238,0.002143391,176.8114866,0.000852455,196.6075963
20/1/2017,302.2294394,31,56,-2,19,0.001494318,185.4998206,0.000743954,177.8086323
8/8/2016,199.7966661,-59,-40,287,308,0.000356781,194.2898986,0.000191494,199.0327456
1/7/2016,177.8388809,-59,-41,176,197,0.001402497,178.4729742,0.00129759,182.4784347
8/7/2016,181.7828603,-56,-15,325,346,0.001284021,188.1182718,0.000539544,200.5697561
12/5/2016,151.0080072,-44,-26,9,30,0.001675259,179.8310251,0.00100895,177.7383848
13/9/2016,221.7138493,-11,52,328,349,0.00071483,197.9136856,0.000368885,206.0486377
6/2/2017,312.2156012,29,47,226,247,0.000863338,194.9492649,0.000261797,199.4563452
20/4/2016,139.9039645,-46,-29,39,60,0.00158291,175.8874147,0.005220609,182.7745671
28/1/2017,306.9607794,35,58,125,146,0.001649198,183.3610414,0.001332062,186.3836699
17/10/2016,243.0838659,25,59,161,182,0.001531545,187.8808896,0.000752433,199.7367573
25/5/2016,157.7629571,-55,-19,20,41,0.001666989,174.6017128,0.00151653,182.3050392
9/1/2017,295.6356865,31,49,1,22,0.000840996,194.8785054,0.000492529,187.1413465
18/4/2017,351.0124371,36,61,136,157,0.002070288,177.651433,0.001707281,177.9197687
14/4/2016,136.942544,-49,-21,91,112,0.001339959,172.7915976,0.000706459,181.465364
22/2/2017,321.3727463,26,42,330,351,0.000463223,198.0890089,0.000315662,200.291359
30/1/2017,308.1348277,25,40,245,266,0.000299269,201.1195149,9.06E-05,203.3045951
4/7/2016,179.5234537,-56,-17,332,353,0.001320338,186.7189768,0.000243043,196.9775691
11/4/2017,347.3941566,43,56,133,154,0.001987331,179.9712414,0.001708704,176.6737938
14/9/2016,222.3351358,1,35,191,212,0.000340161,209.1806221,0.000338546,215.9176618
19/6/2016,171.1863423,-53,-12,60,81,0.001176587,184.0333818,0.000705486,199.4885432
7/5/2016,148.4491514,-53,-28,152,173,0.001724869,171.8796056,0.000638083,177.2074192
1/2/2017,309.3052943,37,63,255,276,0.00195406,178.0866594,0.001252372,189.375634
27/5/2016,158.8155669,-37,-17,167,188,0.001454066,186.2008275,0.000369592,188.1845357
25/1/2017,305.1930614,-39,1,192,213,0.000265896,208.7825206,0.000264064,207.3347331
20/5/2016,155.147191,-52,-34,131,152,0.001896765,172.6940748,0.001095512,177.2028166
17/1/2017,300.4410264,1,23,206,227,0.000342205,203.6142839,0.000481319,206.6887364
19/8/2016,206.3910476,12,33,228,249,0.000275807,203.1001492,0.000539698,202.7989813
9/1/2017,295.6356865,28,56,220,241,0.001453144,188.7752846,0.000231235,202.7666075
8/5/2016,148.9592194,-52,-30,16,37,0.001951554,170.4187394,0.001452322,177.0958747
3/8/2016,196.832743,-60,-40,343,364,0.001080314,189.382136,0.000639409,192.6178611
21/1/2017,302.8238842,27,58,199,220,0.001653229,184.1828071,0.000653049,198.6986864
9/5/2016,149.4701353,-40,5,244,265,0.002330379,181.9721596,0.002262709,180.4290511
