filename,date,lat_min,lat_max,lon_min,lon_max
possible_detections_J/mrom_0828_J03_045835_1485_MA_00N258W_2016-05-06_-52to-24_93to114.tif,2016-05-06,-52,-24,93,114
possible_detections_J/mrom_0914_J11_048929_2921_MA_00N134W_2017-01-03_28to59_217to238.tif,2017-01-03,28,59,217,238
possible_detections_J/mrom_0935_J14_050354_3543_MA_00N158W_2017-04-24_13to35_193to214.tif,2017-04-24,13,35,193,214
possible_detections_J/mrom_0916_J11_049083_2994_MA_00N019W_2017-01-15_16to39_332to353.tif,2017-01-15,16,39,332,353
possible_detections_J/mrom_0823_J02_045644_1410_MA_00N083W_2016-04-22_-34to-18_268to289.tif,2016-04-22,-34,-18,268,289
possible_detections_J/mrom_0924_J12_049601_3229_MA_00N120W_2017-02-24_-18to50_231to252.tif,2017-02-24,-18,50,231,252
possible_detections_J/mrom_0836_J03_046081_1585_MA_00N135W_2016-05-26_-56to6_216to237.tif,2016-05-26,-56,6,216,237
possible_detections_J/mrom_0877_J06_047211_2084_MA_00N026W_2016-08-22_11to65_325to346.tif,2016-08-22,11,65,325,346
possible_detections_J/mrom_0929_J13_049973_3388_MA_00N195W_2017-03-25_39to58_156to177.tif,2017-03-25,39,58,156,177
possible_detections_J/mrom_0830_J03_045901_1512_MA_00N260W_2016-05-12_-47to-3_91to112.tif,2016-05-12,-47,-3,91,112
possible_detections_J/mrom_0927_J13_049853_3337_MA_00N159W_2017-03-16_-47to15_192to213.tif,2017-03-16,-47,15,192,213
possible_detections_J/mrom_0926_J13_049774_3304_MA_00N162W_2017-03-09_-36to33_189to210.tif,2017-03-09,-36,33,189,210
possible_detections_J/mrom_0935_J14_050411_3565_MA_00N274W_2017-04-28_20to37_77to98.tif,2017-04-28,20,37,77,98
possible_detections_J/mrom_0922_J12_049452_3163_MA_00N012W_2017-02-12_19to38_339to360.tif,2017-02-12,19,38,339,360
possible_detections_J/mrom_0929_J13_049997_3398_MA_00N130W_2017-03-27_41to63_221to242.tif,2017-03-27,41,63,221,242
possible_detections_J/mrom_0910_J10_048742_2832_MA_00N069W_2016-12-19_-18to-5_282to303.tif,2016-12-19,-18,-5,282,303
possible_detections_J/mrom_0928_J13_049892_3354_MA_00N143W_2017-03-19_-49to8_208to229.tif,2017-03-19,-49,8,208,229
possible_detections_J/mrom_0847_J04_046342_1694_MA_00N061W_2016-06-15_-58to-32_290to311.tif,2016-06-15,-58,-32,290,311
possible_detections_J/mrom_0827_J03_045808_1475_MA_00N241W_2016-05-04_-52to-25_110to131.tif,2016-05-04,-52,-25,110,131
possible_detections_J/mrom_0885_J07_047468_2207_MA_00N203W_2016-09-11_31to47_148to169.tif,2016-09-11,31,47,148,169
possible_detections_J/mrom_0933_J14_050209_3485_MA_00N159W_2017-04-12_18to37_192to213.tif,2017-04-12,18,37,192,213
possible_detections_J/mrom_0884_J07_047416_2182_MA_00N223W_2016-09-07_-52to-16_128to149.tif,2016-09-07,-52,-16,128,149
possible_detections_J/mrom_0850_J04_046419_1726_MA_00N003W_2016-06-21_-47to-10_348to369.tif,2016-06-21,-47,-10,348,369
possible_detections_J/mrom_0924_J12_049649_3250_MA_00N350W_2017-02-28_13to44_1to22.tif,2017-02-28,13,44,1,22
possible_detections_J/mrom_0851_J04_046433_1732_MA_00N025W_2016-06-22_-45to-18_326to347.tif,2016-06-22,-45,-18,326,347
possible_detections_J/mrom_0924_J12_049613_3234_MA_00N087W_2017-02-25_-62to-9_264to285.tif,2017-02-25,-62,-9,264,285
possible_detections_J/mrom_0846_J04_046318_1683_MA_00N125W_2016-06-13_-52to-37_226to247.tif,2016-06-13,-52,-37,226,247
possible_detections_J/mrom_0916_J11_049035_2972_MA_00N148W_2017-01-11_6to27_203to224.tif,2017-01-11,6,27,203,224
possible_detections_J/mrom_0923_J12_049580_3219_MA_00N267W_2017-02-22_20to35_84to105.tif,2017-02-22,20,35,84,105
possible_detections_J/mrom_0847_J04_046337_1691_MA_00N284W_2016-06-15_-59to-36_67to88.tif,2016-06-15,-59,-36,67,88
possible_detections_J/mrom_0827_J03_045820_1479_MA_00N209W_2016-05-05_-51to-33_142to163.tif,2016-05-05,-51,-33,142,163
possible_detections_J/mrom_0814_J01_045249_1261_MA_00N100W_2016-03-22_-41to-24_251to272.tif,2016-03-22,-41,-24,251,272
possible_detections_J/mrom_0927_J13_049866_3343_MA_00N154W_2017-03-17_-57to13_197to218.tif,2017-03-17,-57,13,197,218
possible_detections_J/mrom_0847_J04_046329_1688_MA_00N066W_2016-06-14_-57to-38_285to306.tif,2016-06-14,-57,-38,285,306
possible_detections_J/mrom_0848_J04_046367_1704_MA_00N023W_2016-06-17_-55to-18_328to349.tif,2016-06-17,-55,-18,328,349
possible_detections_J/mrom_0928_J13_049919_3365_MA_00N160W_2017-03-21_-44to8_191to212.tif,2017-03-21,-44,8,191,212
